country_name,country_code,indicator_name,indicator_code, debt 
Lebanon,LBN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 304,768,401.80 "
Lebanon,LBN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 549,017,809.90 "
Lebanon,LBN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 66,152,236.70 "
,LSO,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 45,265,635.20 "
Lesotho,LSO,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 80,548,591.60 "
Lesotho,LSO,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Liberia,LBR,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 150,961,031.20 "
Liberia,LBR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 8,756,434.00 "
"Macedonia, FYR",MKD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 256,523,417.50 "
"Macedonia, FYR",MKD,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 281,575,202.30 "
Madagascar,MDG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 94,771,730.20 "
Madagascar,MDG,"PPG, official creditors (DIS, current US$)",yes," 441,887,247.70 "
Madagascar,MDG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 22,298,741.40 "
Malawi,MWI,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 57,422,373.10 "
Malawi,MWI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 132,165,820.50 "
Malawi,MWI,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 19,391,773.50 "
Maldives,MDV,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,
Maldives,MDV,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Maldives,MDV,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 23,894,247.40 "
Mali,,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 216,034,519.30 "
Mali,MLI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 602,617,562.30 "
Mali,MLI,"PPG, official creditors (INT, current US$)",yes," 49,454,533.00 "
,MRT,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 381,449,405.30 "
Mauritania,MRT,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 92,943,151.50 "
Mauritius,MUS,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 187,743,318.80 "
Mauritius,MUS,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 58,239,434.10 "
,MUS,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Mexico,MEX,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,246,639,103.00 "
Mexico,MEX,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 647,628,548.10 "
Mexico,MEX,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 670,159,262.30 "
Mongolia,MNG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 128,096,689.40 "
Moldova,,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 188,299,076.10 "
Moldova,MDA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 442,210,632.80 "
Moldova,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 23,170,707.40 "
Mongolia,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 336,001,498.60 "
Mongolia,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 59,395,308.00 "
Montenegro,MNE,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 205,398,217.70 "
Montenegro,MNE,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 251,048,938.50 "
,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 31,282,301.90 "
Morocco,MAR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 2,123,936,463.00 "
Morocco,MAR,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,893,358,240.00 "
